"precio","marcaModelo","anio","vistas","Cilindrada","Estilo","Combustible","Transmisión","Estado","Kilometraje","Placa","Color exterior","Color interior","# de puertas","Ya pagó impuestos","Precio negociable","Se recibe vehículo","Provincia","Fecha de ingreso","cantidadExtras","marca","modelo"
6000000,"Toyota RAV4",2007,3904,2400,"Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente",85432,"ND","GRIS","GRIS",4,"SI","NO","NO","Heredia","30 de Julio del 2020",14,"Toyota","RAV4"
5500000,"Hyundai ACCENT ",2015,368,1600,"Hatchback","Gasolina","Automática/Dual","Excelente",70000,"ND","CRIMSON","GRIS CLARO",4,"SI","SI","SI","San José","14 de Diciembre del 2020",14,"Hyundai","ACCENT"
7000000,"Hyundai GRAND I10",2018,1149,1200,"Hatchback","Gasolina","Automática/Dual","Excelente",41000,"Termina en 9","GRIS","NEGRO",5,"SI","SI","NO","San José","13 de Diciembre del 2020",23,"Hyundai","GRAND I10"
3000000,"Hyundai ACCENT GLS",2010,2172,1500,"Sedán","Gasolina","Manual","Excelente",222222,"Termina en 6","GRIS","GRIS",4,"SI","SI","NO","San José","10 de Diciembre del 2020",7,"Hyundai","ACCENT GLS"
5200000,"Nissan TIIDA",2013,701,1600,"Hatchback","Gasolina","Manual","Muy Bueno",100000,"Termina en 6","ALMENDRA","BEIGE",5,"SI","SI","NO","Alajuela","24 de Enero del 2021",9,"Nissan","TIIDA"
1200000,"Honda CIVIC",1988,156,1500,"Sedán","Gasolina","Manual","Excelente",365000,"Termina en 8","VINO","VINO",4,"SI","NO","NO","San José","27 de Enero del 2021",13,"Honda","CIVIC"
8500000,"Toyota YARIS",2016,414,1500,"Sedán","Gasolina","Automática/Dual","Excelente",85000,"Termina en 1","GRIS","NEGRO",5,"SI","NO","NO","Heredia","20 de Diciembre del 2020",13,"Toyota","YARIS"
5800000,"Toyota 4RUNNER",2001,4266,3400,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",185000,"ND","GRIS","BEIGE",4,"SI","SI","SI","Cartago","04 de Enero del 2021",14,"Toyota","4RUNNER"
1800000,"Hyundai ACCENT",2004,995,1500,"Sedán","Gasolina","Manual","Bueno",190000,"Termina en 2","BLANCO","GRIS",2,"SI","SI","NO","San José","06 de Enero del 2021",9,"Hyundai","ACCENT"
19500000,"Kia SORENTO",2019,1132,2628,"Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente",19000,"ND","GRIS ALUMINIO","NEGRO",5,"SI","NO","NO","San José","09 de Diciembre del 2020",24,"Kia","SORENTO"
6500000,"Kia RIO",2015,521,1600,"Sedán","Gasolina","Automática/Dual","Excelente",187000,"Termina en 6","BLANCO","NEGRO",4,"SI","SI","NO","San José","17 de Noviembre del 2020",15,"Kia","RIO"
6500000,"Toyota RAV4 ",2006,14,2400,"Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente",165000,"Termina en 0","GRIS","NEGRO",5,"SI","SI","NO","Cartago","05 de Febrero del 2021",19,"Toyota","RAV4"
4500000,"Honda CRV",2004,300,2400,"Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente",122520,"Termina en 3","BEIGE","BEIGE",5,"SI","SI","NO","Alajuela","06 de Enero del 2021",15,"Honda","CRV"
4150000,"Toyota YARIS",2007,1500,1500,"Sedán","Gasolina","Manual","Excelente",223000,"Termina en 8","PLATEADO","GRIS",5,"SI","SI","NO","Cartago","28 de Octubre del 2020",14,"Toyota","YARIS"
8600000,"Isuzu NPR",1999,226,4800,"Camión 4.0-4.5 ton.","Diesel","Manual","Excelente",,"ND","BLANCO","BLAANCO",2,"SI","SI","NO","Alajuela","14 de Enero del 2021",5,"Isuzu","NPR"
7000000,"Hyundai STAREX",2012,336,2600,"Microbús/Minivan","Diesel","Manual","Excelente",,"ND","BLANCO","NEGRO",4,"SI","SI","NO","Puntarenas","08 de Diciembre del 2020",7,"Hyundai","STAREX"
4800000,"Kia SOUL",2011,224,1600,"Hatchback","Gasolina","Manual","Excelente",,"Termina en 2","BLANCO","NEGRO",4,"SI","SI","SI","San José","20 de Enero del 2021",11,"Kia","SOUL"
9000000,"Toyota HIACE",2010,230,3000,"Microbús/Minivan","Diesel","Manual","Excelente",318000,"Termina en 5","BLANCO","GRIS",4,"SI","SI","NO","Alajuela","15 de Enero del 2021",7,"Toyota","HIACE"
4700000,"Mitsubishi LANCER GT",2008,2695,2000,"Sedán","Gasolina","Automática/Dual","Excelente",180000,"Termina en 0","NEGRO","NEGRO",4,"SI","SI","NO","Cartago","17 de Noviembre del 2020",18,"Mitsubishi","LANCER GT"
6900000,"Kia SPORTAGE",2012,1201,2000,"Todo Terreno 4x2","Gasolina","Manual","Excelente",91500,"Termina en 4","GRIS","NEGRO",5,"SI","SI","NO","Alajuela","26 de Enero del 2021",14,"Kia","SPORTAGE"
6500000,"Nissan 240SX",1995,348,2000,"Sedán","Gasolina","Manual","Muy Bueno",184167,"Termina en 7","GRIS PLATA","GRIS",2,"SI","SI","NO","Cartago","19 de Enero del 2021",15,"Nissan","240SX"
16300000,"Mitsubishi OUTLANDER",2017,90,2000,"Todo Terreno 4x4","Híbrido","Automática/Dual","Excelente",76000,"Termina en 3","BLANCO","NEGRO",4,"SI","SI","SI","San José","02 de Febrero del 2021",13,"Mitsubishi","OUTLANDER"
1900000,"Nissan SENTRA",2000,245,2000,"Sedán","Gasolina","Manual","Excelente",220000,"Termina en 1","GRIS","NEGRO",4,"SI","SI","NO","San José","25 de Enero del 2021",14,"Nissan","SENTRA"
5500000,"Hyundai ACCENT BLUE",2014,414,1400,"Sedán","Gasolina","Automática/Dual","Muy Bueno",90000,"Termina en 0","GRIS","NEGRO Y GRIS",4,"SI","SI","NO","San José","19 de Noviembre del 2020",20,"Hyundai","ACCENT BLUE"
2400000,"Chevrolet CMV",2008,288,800,"Pánel","Gasolina","Manual","Excelente",116000,"Termina en 4","BLANCO","BLANCO",5,"SI","SI","NO","San José","18 de Enero del 2021",5,"Chevrolet","CMV"
5000000,"Hyundai GRAND I10",2015,215,1200,"Hatchback","Gasolina","Automática/Dual","Excelente",75400,"Termina en 9","NEGRO","BEIGE/NEGRO",4,"SI","NO","NO","Heredia","28 de Enero del 2021",6,"Hyundai","GRAND I10"
8250000,"Toyota RAV4",2012,1250,2400,"Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente",152000,"Termina en 3","ROJO","NEGRO",5,"SI","SI","NO","San José","12 de Noviembre del 2020",15,"Toyota","RAV4"
12700000,"Nissan PATHFINDER",2014,99,3500,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",93500,"Termina en 4","AZUL","NEGRO",4,"SI","SI","SI","San José","26 de Enero del 2021",12,"Nissan","PATHFINDER"
7250000,"Toyota RAV4 SPORT",2007,42,2400,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",121000,"Termina en 8","GRIS","NEGRO",5,"SI","SI","NO","Cartago","04 de Febrero del 2021",25,"Toyota","RAV4 SPORT"
12500000,"Honda ODYSSEY",2013,742,3500,"Station Wagon","Gasolina","Automática/Dual","Excelente",100000,"Termina en 6","GRIS","GRIS",5,"SI","SI","SI","San José","16 de Enero del 2021",22,"Honda","ODYSSEY"
1600000,"Kia SM",2001,17,1500,"Sedán","Gasolina","Manual","Bueno",121791,"Termina en 6","BLANCO","GRIS",4,"SI","SI","NO","San José","05 de Febrero del 2021",8,"Kia","SM"
4600000,"Suzuki SWIFT",2012,166,1400,"Hatchback","Gasolina","Manual","Excelente",74000,"Termina en 9","BLANCO","GRIS",5,"SI","SI","NO","Alajuela","18 de Enero del 2021",18,"Suzuki","SWIFT"
4300000,"Mitsubishi MIRAGE G4",2016,443,1200,"Sedán","Gasolina","Manual","Muy Bueno",81000,"Termina en 3","GRIS","GRIS",4,"SI","SI","NO","Alajuela","11 de Enero del 2021",10,"Mitsubishi","MIRAGE G4"
7248000,"Kia RIO",2017,192,1400,"Hatchback","Gasolina","Automática/Dual","Excelente",39000,"Termina en 8","GRIS","GRIS",5,"SI","NO","NO","Heredia","25 de Enero del 2021",20,"Kia","RIO"
16000000,"Subaru FORESTER XT",2013,418,2000,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",45000,"Termina en 0","AZUL","NEGRO",5,"SI","NO","NO","Alajuela","12 de Enero del 2021",34,"Subaru","FORESTER XT"
5800000,"Chevrolet SONIC",2015,184,1600,"Sedán","Gasolina","Automática/Dual","Excelente",89000,"Termina en 7","BLANCO","GRIS Y NEGRO",5,"SI","SI","NO","Puntarenas","22 de Diciembre del 2020",18,"Chevrolet","SONIC"
2800000,"Suzuki AERIO",2005,857,1600,"Sedán","Gasolina","Manual","Muy Bueno",165000,"Termina en 7","CELESTE","GRIS",4,"SI","SI","NO","Alajuela","09 de Noviembre del 2020",15,"Suzuki","AERIO"
7358265,"Honda FIT",2015,41,1500,"Hatchback","Gasolina","Manual","Excelente",72500,"Termina en 7","BLANCO","NEGRO",4,"SI","NO","NO","San José","03 de Febrero del 2021",10,"Honda","FIT"
